fund_code,fund_abbr_name,nav,add_nav,pre_nav,pre_add_nav,day_growth,day_growth_rate,handling_charge
000048,华夏双债增强债券C,1.1470,1.3620,1.1460,1.3610,0.0010,0.09,0.00%
000049,中银标普全球资源等权重指数,,,1.0530,1.0530,,,0.15%
000050,长盛纯债债券A,1.05,1.2220,1.05,1.2220,0,0.00,0.08%
000051,华夏沪深300ETF联接,1.30,1.30,1.2940,1.2940,0.0060,0.46,0.12%
000052,长盛纯债债券C,1.0480,1.2060,1.0480,1.2060,0,0.00,0.00%
000053,鹏华实业债纯债债券,1.3243,1.3344,1.3237,1.3338,0.0006,0.05,0.08%
000056,建信消费升级混合,1.9910,1.9910,1.9760,1.9760,0.0150,0.76,0.15%
000057,中银消费主题混合,1.5510,1.5510,1.5210,1.5210,0.03,1.97,0.15%
000058,国联安保本混合,1.0009,1.1726,1.0010,1.1727,-0.0001,-0.01,0.10%
000059,国联安中证医药100,0.9878,1.5478,0.9931,1.5531,-0.0053,-0.53,0.12%
000061,华夏盛世混合,0.8840,0.8840,0.8930,0.8930,-0.0090,-1.01,0.15%
000062,银华量化智慧动力混合,1.3020,1.3020,1.3040,1.3040,-0.0020,-0.15,0.15%
000063,长盛电子信息主题灵活配置混合,1.9080,1.9080,1.9140,1.9140,-0.0060,-0.31,0.15%
000065,国富焦点驱动混合,1.4420,1.6070,1.4430,1.6080,-0.0010,-0.07,0.15%
000066,诺安鸿鑫保本混合,1.0420,1.4710,1.0390,1.4660,0.0030,0.29,0.12%
000067,民生加银转债优选A,0.6570,1.0570,0.6610,1.0610,-0.0040,-0.61,0.08%
000068,民生加银转债优选C,0.6510,1.0410,0.6550,1.0450,-0.0040,-0.61,0.00%
000069,国投瑞银中高等级债券A,1.0440,1.29,1.0430,1.2890,0.0010,0.10,0.08%
000070,国投瑞银中高等级债券C,1.0420,1.2730,1.0410,1.2720,0.0010,0.10,0.00%
000071,华夏恒生ETF联接,1.5172,1.5172,1.5137,1.5137,0.0035,0.23,0.12%
000072,华安保本混合,1.0320,1.8130,1.0320,1.8130,0,0.00,0.12%
000073,上投成长动力,1.4430,1.4430,1.4260,1.4260,0.0170,1.19,0.15%
000080,天治可转债A,1.0880,1.0880,1.0910,1.0910,-0.0030,-0.28,0.08%
000081,天治可转债C,1.0720,1.0720,1.0750,1.0750,-0.0030,-0.28,0.00%
000082,嘉实研究阿尔法股票,1.3750,1.93,1.37,1.9250,0.0050,0.37,0.15%
000083,汇添富消费行业混合,3.1960,3.1960,3.1370,3.1370,0.0590,1.88,0.15%
000087,嘉实中证金边国债ETF联接A,1.0411,1.0411,1.0426,1.0426,-0.0015,-0.14,0.05%
000088,嘉实中证金边国债ETF联接C,1.0371,1.0371,1.0386,1.0386,-0.0015,-0.14,0.00%
000103,国泰中国企业境外高收益债券,,,1.33,1.33,,,0.08%
000104,华宸信用增利债券,1.0820,1.2920,1.0820,1.2920,0,0.00,0.08%
000107,富国稳健增强债券A/B,1.0370,1.3350,1.0370,1.3350,0,0.00,0.08%
000109,富国稳健增强债券C,1.0320,1.3130,1.0320,1.3130,0,0.00,0.00%
000110,金鹰元安混合A,1.0619,1.3345,1.0662,1.3399,-0.0043,-0.40,0.08%
000117,广发轮动配置混合,1.6980,1.6980,1.6890,1.6890,0.0090,0.53,0.15%
000118,广发聚鑫债券A,1.2130,1.6570,1.2130,1.6570,0,0.00,0.08%
000119,广发聚鑫债券C,1.2070,1.6440,1.2070,1.6440,0,0.00,0.00%
000120,中银美丽中国混合,1.3660,1.4010,1.3480,1.3830,0.0180,1.34,0.15%
000121,华夏永福养老理财混合A,1.5950,1.5950,1.5930,1.5930,0.0020,0.13,0.08%
000122,汇添富实业债债券A,1.0880,1.3620,1.0880,1.3620,0,0.00,0.10%
000123,汇添富实业债债券C,1.0630,1.3370,1.0640,1.3380,-0.0010,-0.09,0.00%
000124,华宝服务优选混合,1.8060,2.1060,1.7960,2.0960,0.01,0.56,0.15%
000125,上投摩根天颐年丰混合A,1.0320,1.3340,1.0310,1.3330,0.0010,0.10,0.10%
000126,招商安润保本混合,1.0230,1.3670,1.0220,1.3660,0.0010,0.10,0.15%
000127,农银行业领先混合,2.2628,2.2628,2.2697,2.2697,-0.0069,-0.30,0.15%
000128,大成景安短融债券A,1.2554,1.2554,1.2548,1.2548,0.0006,0.05,0.00%
000130,大成景兴信用债债券A,1.1230,1.4230,1.1230,1.4230,0,0.00,0.08%
000131,大成景兴信用债债券C,1.1030,1.4030,1.1020,1.4020,0.0010,0.09,0.00%
000136,民生加银策略精选混合,2.2190,2.58,2.2170,2.5780,0.0020,0.09,0.15%
000139,富国国有企业债债券A,1.0040,1.2290,1.0030,1.2280,0.0010,0.10,0.08%
000141,富国国有企业债C级,1.0030,1.21,1.0030,1.21,0,0.00,0.00%
000142,融通通泰保本混合A,1.01,1.2670,1.01,1.2670,0,0.00,0.12%
000147,易方达高等级信用债A,1.1480,1.2180,1.1470,1.2170,0.0010,0.09,0.08%
000148,易方达高等级信用债C,1.1260,1.1960,1.1250,1.1950,0.0010,0.09,0.00%
000149,华安双债添利债券A,1.1020,1.4220,1.1020,1.4220,0,0.00,0.08%
000150,华安双债添利债券C,1.0880,1.4080,1.0880,1.4080,0,0.00,0.00%
000152,大成景旭纯债A,1.0890,1.2990,1.0890,1.2990,0,0.00,0.08%
000153,大成景旭纯债C,1.0720,1.2820,1.0720,1.2820,0,0.00,0.00%
000165,国投瑞银策略精选混合,1.5450,2.1730,1.5460,2.1740,-0.0010,-0.06,0.15%
000166,中海策略精选灵活配置混合,1.0336,1.4346,1.0307,1.4306,0.0029,0.28,0.15%
000167,广发聚优灵活配置混合A,1.3310,1.5410,1.3020,1.5120,0.0290,2.23,0.15%
000172,华泰柏瑞量化增强混合A,1.46,2.4090,1.4540,2.4030,0.0060,0.41,0.12%
000173,汇添富美丽30混合,2.3560,2.3560,2.3220,2.3220,0.0340,1.46,0.15%
000174,汇添富高息债债券A,1.3920,1.4270,1.3910,1.4260,0.0010,0.07,0.10%
000175,汇添富高息债债券C,1.3650,1.40,1.3640,1.3990,0.0010,0.07,0.00%
000176,嘉实沪深300指数研究增强,1.3296,1.3296,1.3206,1.3206,0.0090,0.68,0.10%
000179,广发美国房地产指数,,,1.2980,1.4580,,,0.13%
000181,景顺长城四季金利债券A,1.1640,1.28,1.1620,1.2780,0.0020,0.17,0.08%
000182,景顺长城四季金利债券C,1.1490,1.2610,1.1480,1.26,0.0010,0.09,0.00%
000184,工银添福债券A,1.66,1.66,1.6570,1.6570,0.0030,0.18,0.08%
000185,工银添福债券B,1.6270,1.6270,1.6240,1.6240,0.0030,0.18,0.00%
000186,华泰柏瑞季季红债券,1.0160,1.2290,1.0150,1.2280,0.0010,0.10,0.08%
000187,华泰柏瑞丰盛纯债债券A,1.0872,1.2255,1.0871,1.2254,0.0001,0.01,0.08%
000188,华泰柏瑞丰盛纯债债券C,1.0716,1.2099,1.0716,1.2099,0,0.00,0.00%
000190,中银新回报灵活配置混合,1.3120,1.5720,1.3080,1.5680,0.0040,0.31,0.12%
000191,富国信用债债券A,0.9970,1.2360,0.9960,1.2350,0.0010,0.10,0.08%
000192,富国信用债债券C,0.9990,1.2160,0.9980,1.2150,0.0010,0.10,0.00%
000194,银华信用四季红债券,1.01,1.3240,1.01,1.3240,0,0.00,0.08%
000199,国泰策略收益灵活配置混合,1.41,1.6690,1.40,1.6570,0.01,0.71,0.12%
000205,易方达投资级信用债债券A,1.0910,1.28,1.09,1.2790,0.0010,0.09,0.08%
000206,易方达投资级信用债债券C,1.09,1.2680,1.09,1.2680,0,0.00,0.00%
000207,建信双债增强债券A,1.2050,1.2150,1.2060,1.2160,-0.0010,-0.08,0.08%
000208,建信双债增强债券C,1.1850,1.1950,1.1860,1.1960,-0.0010,-0.08,0.00%
000209,信诚新兴产业混合,1.5020,1.5020,1.52,1.52,-0.0180,-1.18,0.15%
000214,广发成长优选混合,1.5470,1.5470,1.53,1.53,0.0170,1.11,0.15%
000215,广发趋势优选灵活配置,1.6190,1.6790,1.6180,1.6780,0.0010,0.06,0.15%
000216,华安黄金易ETF联接A,1.01,1.01,1.0108,1.0108,-0.0008,-0.08,0.06%
000217,华安黄金易ETF联接C,1.0041,1.0041,1.0049,1.0049,-0.0008,-0.08,0.00%
000218,国泰黄金ETF联接A,1.0396,1.0396,1.0403,1.0403,-0.0007,-0.07,0.07%
000219,博时裕益灵活配置,1.2230,1.4750,1.2380,1.49,-0.0150,-1.21,0.15%
000220,富国医疗保健行业混合,1.7340,1.7340,1.7730,1.7730,-0.0390,-2.20,0.15%
000236,工银月月薪定期支付债券A,1.4930,1.4930,1.49,1.49,0.0030,0.20,0.08%
000242,景顺长城策略精选,1.1370,1.6870,1.1330,1.6830,0.0040,0.35,0.15%
000248,汇添富中证主要消费ETF联接,1.4541,1.4541,1.4233,1.4233,0.0308,2.16,0.10%
000251,工银金融地产混合,2.4380,2.9570,2.4220,2.9410,0.0160,0.66,0.15%
000252,景顺长城景兴信用纯债A,1.2750,1.2750,1.2740,1.2740,0.0010,0.08,0.08%
000253,景顺长城景兴信用纯债C,1.2530,1.2530,1.2520,1.2520,0.0010,0.08,0.00%
000256,上投摩根红利回报混合A,1.0160,1.3450,1.0130,1.3420,0.0030,0.30,0.12%
000259,农银区间收益混合,2.3133,2.3133,2.3021,2.3021,0.0112,0.49,0.15%
000260,信诚季季定期支付债券,1.3310,1.53,1.3280,1.5270,0.0030,0.23,0.08%
000263,工银信息产业混合,1.4640,1.7410,1.4590,1.7360,0.0050,0.34,0.15%
000270,建信安心保本混合,1.0240,1.5640,1.0250,1.5660,-0.0010,-0.10,0.12%
000273,华润元大安鑫灵活配置混合,1.4720,2.1940,1.4510,2.1730,0.0210,1.45,0.12%
000279,华商红利优选灵活配置,0.9890,1.8520,1.0120,1.8750,-0.0230,-2.27,0.15%
000286,银华信用季季红债券,1.0250,1.2690,1.0240,1.2680,0.0010,0.10,0.07%
000287,银华永利债券A,1.1910,1.2510,1.1890,1.2490,0.0020,0.17,0.08%
000288,银华永利债券C,1.1720,1.2320,1.1710,1.2310,0.0010,0.09,0.00%
000290,鹏华全球高收益债,,,1.1150,1.42,,,0.08%
000294,华安生态优先混合,2.0460,2.0460,2.0330,2.0330,0.0130,0.64,0.15%
000295,鹏华丰实定期开放债券A,1.0460,1.2820,1.0460,1.2820,0,0.00,0.08%
000296,鹏华丰实定期开放债券B,1.0360,1.2670,1.0360,1.2670,0,0.00,0.00%
000297,鹏华可转债债券,0.8450,0.8450,0.8460,0.8460,-0.0010,-0.12,0.08%
000298,中海纯债债券A,1.0010,1.1410,1,1.14,0.0010,0.10,0.08%
000299,中海纯债债券C,0.9880,1.1280,0.9880,1.1280,0,0.00,0.00%
000303,长盛双月红定期债券A,0.9610,1.1680,0.9610,1.1680,0,0.00,0.06%
000304,长盛双月红定期债券C,0.9580,1.1570,0.9580,1.1570,0,0.00,0.00%
000305,中银中高等级A,1.0290,1.2450,1.0290,1.2450,0,0.00,0.08%
000306,天弘弘利债券,1.1730,1.2890,1.1720,1.2880,0.0010,0.09,0.10%
000307,易方达黄金ETF联接A,0.9745,0.9745,0.9751,0.9751,-0.0006,-0.06,0.07%
000308,建信创新中国混合,2.5120,2.5120,2.5150,2.5150,-0.0030,-0.12,0.15%
000309,大摩品质生活股票,1.9250,1.9250,1.9050,1.9050,0.02,1.05,0.15%
000311,景顺长城沪深300增强,2.0910,2.4310,2.0870,2.4270,0.0040,0.19,0.12%
000312,华安沪深300增强A,1.5562,1.9162,1.5399,1.8999,0.0163,1.06,0.12%
000313,华安沪深300增强C,1.5115,1.8715,1.4958,1.8558,0.0157,1.05,0.00%
000314,招商瑞丰灵活配置混合发起式A,1.3760,1.5230,1.3770,1.5240,-0.0010,-0.07,0.15%
000319,泰达淘利债券A,1.2349,1.2349,1.2343,1.2343,0.0006,0.05,0.08%
000320,泰达淘利债券C,1.2267,1.2267,1.2260,1.2260,0.0007,0.06,0.00%
000328,上投摩根转型动力,1.8070,1.8070,1.79,1.79,0.0170,0.95,0.15%
000333,长城稳固收益债券A,1.0870,1.1070,1.0870,1.1070,0,0.00,0.08%
000334,长城稳固收益债券C,1.0740,1.0940,1.0740,1.0940,0,0.00,0.00%
000336,农银研究精选,1.4572,1.4572,1.4519,1.4519,0.0053,0.37,0.15%
000339,长城医疗保健混合,1.5510,1.5510,1.5470,1.5470,0.0040,0.26,0.15%
000346,建信安心回报两年定开债券A,1.03,1.2290,1.03,1.2290,0,0.00,0.06%
000347,建信安心回报两年定开债券C,1.0270,1.2130,1.0270,1.2130,0,0.00,0.00%
000354,长盛城镇化主题混合,1.2820,1.93,1.2910,1.9390,-0.0090,-0.70,0.15%
000355,南方丰元A,1.0870,1.2390,1.0870,1.2390,0,0.00,0.08%
000356,南方丰元C,1.0740,1.2220,1.0750,1.2230,-0.0010,-0.09,0.00%
000362,国泰聚信价值优势灵活配置A,1.2790,2.2770,1.2710,2.2690,0.0080,0.63,0.15%
000363,国泰聚信价值优势灵活配置C,1.3050,2.2990,1.2970,2.2910,0.0080,0.62,0.00%
000367,国泰安康养老定期支付混合A,1.39,1.39,1.3850,1.3850,0.0050,0.36,0.08%
000368,汇添富沪深300安中指数,1.6279,1.6279,1.6175,1.6175,0.0104,0.64,0.12%
000369,广发全球医疗保健现钞,,,1.3170,1.4270,,,0.13%
000373,华安中证细分医药ETF联接A,1.3690,1.3690,1.3650,1.3650,0.0040,0.29,0.12%
000376,华安中证细分医药ETF联接C,1.35,1.35,1.3460,1.3460,0.0040,0.30,0.00%
000377,上投双债增利A,1.0110,1.4050,1.0080,1.4020,0.0030,0.30,0.08%
000378,上投双债增利C,1.0050,1.3910,1.0030,1.3890,0.0020,0.20,0.00%
000385,景顺长城景颐双利债券A,1.4670,1.4670,1.4640,1.4640,0.0030,0.20,0.08%
000386,景顺长城景颐双利债券C,1.4440,1.4440,1.4410,1.4410,0.0030,0.21,0.00%
000390,华商优势行业,1.13,2.12,1.12,2.11,0.01,0.89,0.15%
000394,融通通源短融债券A,1.0830,1.1670,1.0830,1.1670,0,0.00,0.00%
000395,汇添富安心中国债券A,1.1540,1.1540,1.1530,1.1530,0.0010,0.09,0.08%
000396,汇添富安心中国债券C,1.1450,1.1450,1.1440,1.1440,0.0010,0.09,0.00%
000398,华富灵活配置混合,1.0210,1.2460,1.0210,1.2460,0,0.00,0.15%
000402,工银纯债债券A,1.14,1.2030,1.14,1.2030,0,0.00,0.08%
000403,工银纯债债券B,1.1270,1.1850,1.1270,1.1850,0,0.00,0.00%
000404,易方达新兴成长灵活配置,2.3570,2.3570,2.3470,2.3470,0.01,0.43,0.15%
000405,信诚月月支付,1.2530,1.2530,1.2550,1.2550,-0.0020,-0.16,0.08%
000408,民生加银城镇化混合,1.5450,2.44,1.5310,2.4260,0.0140,0.91,0.15%
000409,鹏华环保产业股票,1.7730,1.7730,1.7790,1.7790,-0.0060,-0.34,0.15%
000410,益民服务领先混合,2.8450,2.8450,2.8360,2.8360,0.0090,0.32,0.15%
000411,景顺长城优质成长,1.1520,1.5020,1.1370,1.4870,0.0150,1.32,0.15%
000412,国开岁月鎏金定开信用债A,0.9560,1.2180,0.9550,1.2170,0.0010,0.10,0.08%
000413,国开岁月鎏金定开信用债C,0.9480,1.2020,0.9470,1.2010,0.0010,0.11,0.00%
000417,国联安新精选灵活配置,1.1713,1.3583,1.1713,1.3583,0,0.00,0.15%
000418,景顺长城成长之星,1.7850,1.7850,1.7720,1.7720,0.0130,0.73,0.15%
000419,大摩优质信价纯债A,1.1710,1.1710,1.17,1.17,0.0010,0.09,0.08%
000420,大摩优质信价纯债C,1.16,1.16,1.1590,1.1590,0.0010,0.09,0.00%
000421,华泰柏瑞丰汇债券A,1.1020,1.1020,1.1020,1.1020,0,0.00,0.08%
000422,华泰柏瑞丰汇债券C,1.0850,1.0850,1.0850,1.0850,0,0.00,0.00%
000423,前海开源事件驱动混合A,1.4110,1.4110,1.3720,1.3720,0.0390,2.84,0.15%
000431,鹏华品牌传承混合,1.3950,1.4770,1.3590,1.4410,0.0360,2.65,0.15%
000432,中银优秀企业混合,1.51,1.51,1.5230,1.5230,-0.0130,-0.85,0.15%
000433,安信鑫发优选混合,1.2650,1.2650,1.2630,1.2630,0.0020,0.16,0.10%
000435,建信稳定添利债券A,1.10,1.4320,1.0990,1.4310,0.0010,0.09,0.06%
000452,南方医保,1.5310,1.7460,1.5270,1.7420,0.0040,0.26,0.15%
000457,上投摩根核心成长,2.19,2.4990,2.1830,2.4920,0.0070,0.32,0.15%
000458,英大领先回报发起式,0.9177,1.5777,0.9191,1.5791,-0.0014,-0.15,0.12%
000462,农银主题轮动混合,1.3610,1.3610,1.3338,1.3338,0.0272,2.04,0.15%
000463,华商双债丰利债券A,1.3130,1.6980,1.3050,1.69,0.0080,0.61,0.08%
000466,融通通瑞债券A/B,1.0710,1.1460,1.07,1.1450,0.0010,0.09,0.06%
000467,信诚惠报债券A,1.02,1.02,1.0180,1.0180,0.0020,0.20,0.08%
000471,富国城镇发展股票,1.8630,2.3630,1.88,2.38,-0.0170,-0.90,0.15%
000473,广发集鑫债券A,1.1530,1.1820,1.1520,1.1810,0.0010,0.09,0.08%
000474,广发集鑫债券C,1.1760,1.2110,1.1750,1.21,0.0010,0.09,0.00%
000477,广发主题领先混合,1.8570,1.8570,1.8290,1.8290,0.0280,1.53,0.15%
000478,建信中证500指数增强,2.3585,2.3585,2.3733,2.3733,-0.0148,-0.62,0.15%
000479,信诚惠报债券B,1.0090,1.0090,1.0080,1.0080,0.0010,0.10,0.00%
000480,东方红新动力混合,2.4630,2.5510,2.4740,2.5620,-0.0110,-0.44,1.50%
000481,华商双债丰利债券C,1.30,1.6650,1.2920,1.6570,0.0080,0.62,0.00%
000489,光大保德信岁末红利纯债A,1.0278,1.1362,1.0270,1.1354,0.0008,0.08,0.08%
000490,光大保德信岁末红利纯债C,1.0225,1.1202,1.0217,1.1194,0.0008,0.08,0.00%
000496,长安产业精选混合A,1.1690,1.4090,1.1703,1.4103,-0.0013,-0.11,0.15%
000507,泰达宏利养老混合A,1.1660,1.3560,1.1620,1.3520,0.0040,0.34,0.12%
000508,泰达宏利养老混合B,1.1360,1.3260,1.1330,1.3230,0.0030,0.26,0.00%
000511,国泰国策驱动灵活配置混合A,1.6980,1.6980,1.6930,1.6930,0.0050,0.30,0.08%
000512,国泰结构转型灵活配置混合A,1.9760,1.9760,1.9710,1.9710,0.0050,0.25,0.08%
000513,富国高端制造行业股票,1.7350,1.7350,1.7380,1.7380,-0.0030,-0.17,0.15%
000520,上银新兴价值成长混合,1.0670,1.7720,1.0610,1.7660,0.0060,0.57,0.15%
000522,华润元大信息传媒科技混合,1.6980,1.6980,1.6710,1.6710,0.0270,1.62,0.15%
000523,国投瑞银医疗保健混合,1.3110,1.6820,1.3230,1.6940,-0.0120,-0.91,0.15%
000524,上投摩根民生需求,1.5780,2.0170,1.5770,2.0160,0.0010,0.06,0.15%
000526,国泰浓益灵活配置混合A,1.4440,1.4440,1.44,1.44,0.0040,0.28,0.08%
000527,南方新优享,2.4630,2.4630,2.44,2.44,0.0230,0.94,0.15%
000529,广发竞争优势混合,1.8840,1.8840,1.8430,1.8430,0.0410,2.22,0.15%
000531,东吴阿尔法灵活配置混合,1.2540,1.2540,1.2560,1.2560,-0.0020,-0.16,0.15%
000532,景顺长城优势企业混合,1.7120,1.7120,1.6950,1.6950,0.0170,1.00,0.15%
000534,长盛高端装备制造灵活配置,1.6480,1.6480,1.6620,1.6620,-0.0140,-0.84,0.15%
000535,长盛航天海工装备灵活配置,1.0710,1.5860,1.0730,1.5880,-0.0020,-0.19,0.15%
000536,前海开源可转债债券,0.8170,1.1870,0.8170,1.1870,0,0.00,0.08%
000541,华商创新成长灵活配置,1.2570,1.5120,1.2390,1.4940,0.0180,1.45,0.15%
000545,中邮核心竞争力混合,1.2490,1.2490,1.2580,1.2580,-0.0090,-0.72,0.15%
000547,建信健康民生混合,2.27,2.27,2.26,2.26,0.01,0.44,0.15%
000549,华安大国新经济股票,1.8540,1.8540,1.8630,1.8630,-0.0090,-0.48,0.15%
000550,广发新动力混合,2.3240,2.3240,2.3010,2.3010,0.0230,1.00,0.15%
000551,信诚幸福消费混合,1.9760,1.9760,1.9730,1.9730,0.0030,0.15,0.15%
000554,中国梦基金,1.6160,1.6160,1.6090,1.6090,0.0070,0.44,0.15%
000556,国投新机遇混合A,1.3680,1.5180,1.3720,1.5220,-0.0040,-0.29,0.06%
000557,国投新机遇混合C,1.34,1.49,1.3440,1.4940,-0.0040,-0.30,0.00%
000561,南方启元A,1.0780,1.11,1.0780,1.11,0,0.00,0.08%
000562,南方启元C,1.0630,1.0950,1.0630,1.0950,0,0.00,0.00%
000563,南方通利A,1.0250,1.24,1.0240,1.2390,0.0010,0.10,0.08%
000564,南方通利C,1.0220,1.2370,1.0210,1.2360,0.0010,0.10,0.00%
000566,华泰柏瑞创新升级混合,2.3750,2.3750,2.3590,2.3590,0.0160,0.68,0.12%
000567,广发聚祥灵活混合,1.8540,1.8540,1.8320,1.8320,0.0220,1.20,0.15%
000572,中银多策略混合,1.3140,1.4440,1.3120,1.4420,0.0020,0.15,0.15%
000573,天弘通利混合,1.1910,1.26,1.19,1.2590,0.0010,0.08,0.10%
000574,宝盈新价值混合,1.4190,2.1070,1.4030,2.0910,0.0160,1.14,0.15%
000577,安信价值精选股票,2.8360,2.8360,2.8280,2.8280,0.0080,0.28,0.15%
000583,江信聚福,0.9725,1.2725,0.9721,1.2721,0.0004,0.04,0.06%
000584,新华鑫益灵活配置混合,1.9380,1.9380,1.9450,1.9450,-0.0070,-0.36,0.00%
000586,景顺中小板创业板精选股票,1.4490,1.4490,1.4740,1.4740,-0.0250,-1.70,0.15%
000587,大成灵活配置混合,1.8820,2.2820,1.8670,2.2670,0.0150,0.80,0.15%
000589,光大保德信银发商机混合,1.5840,1.8340,1.5780,1.8280,0.0060,0.38,0.15%
000590,华安新活力混合,1.3780,1.3780,1.3770,1.3770,0.0010,0.07,0.15%
000591,中银健康生活混合,1.5760,1.5760,1.5730,1.5730,0.0030,0.19,0.15%
000592,建信改革红利股票,2.2420,2.2420,2.2160,2.2160,0.0260,1.17,0.15%
000594,大摩进取优选股票,1.6990,1.6990,1.6980,1.6980,0.0010,0.06,0.15%
000595,嘉实泰和混合,2.3340,6.3660,2.31,6.34,0.0240,1.04,0.15%
000596,前海开源中证军工指数A,1.3630,1.3630,1.3790,1.3790,-0.0160,-1.16,0.12%
000597,中海积极收益混合,1.23,1.26,1.2290,1.2590,0.0010,0.08,0.08%
000598,长盛生态环境主题混合,1.6090,1.6090,1.6040,1.6040,0.0050,0.31,0.15%
000601,华宝创新优选混合,1.0140,1.3540,1.0080,1.3480,0.0060,0.60,0.15%
000603,易方达创新驱动灵活配置混合,0.9180,0.9180,0.9110,0.9110,0.0070,0.77,0.15%
000606,天弘优选债券,1.0033,1.0033,1.0028,1.0028,0.0005,0.05,0.06%
000609,华商新量化灵活配置混合,1.4850,1.7350,1.4770,1.7270,0.0080,0.54,0.15%
000612,华宝生态中国混合,2.0210,2.2210,2.0120,2.2120,0.0090,0.45,0.15%
000613,国寿安保沪深300指数,1.0674,1.7274,1.0617,1.7217,0.0057,0.54,0.10%
000614,华安德国30(DAX)联接,,,1.25,1.25,,,0.12%
000616,上投摩根优信增利债券A,1.3610,1.3610,1.36,1.36,0.0010,0.07,0.08%
000617,上投摩根优信增利债券C,1.3410,1.3410,1.3410,1.3410,0,0.00,0.00%
000619,东方红产业升级混合,3.1490,3.1490,3.13,3.13,0.0190,0.61,1.50%
000628,大成高新技术产业股票,1.5730,1.5730,1.5720,1.5720,0.0010,0.06,0.15%
000629,圆信永丰纯债A,1.0590,1.2390,1.0590,1.2390,0,0.00,0.06%
000630,圆信永丰纯债C,1.0530,1.2230,1.0530,1.2230,0,0.00,0.00%
000634,富国天盛灵活配置混合,1.24,1.7470,1.23,1.7370,0.01,0.81,0.15%
000639,宝盈祥瑞养老混合,1.2780,1.4980,1.2780,1.4980,0,0.00,0.12%
000646,华润元大医疗保健量化混合,1.2960,1.2960,1.2890,1.2890,0.0070,0.54,0.15%
000649,长城久鑫保本混合,1.0290,1.26,1.0290,1.26,0,0.00,0.12%
000652,博时裕隆混合,1.96,1.70,1.9480,1.6890,0.0120,0.62,0.15%
000654,华商新锐产业混合,1.0870,1.1070,1.1080,1.1280,-0.0210,-1.90,0.15%
000655,鑫元稳利债券,1.0605,1.2105,1.0596,1.2096,0.0009,0.08,0.06%
000656,前海开源沪深300指数,1.24,1.49,1.2350,1.4850,0.0050,0.40,0.12%
000663,国投瑞银美丽中国混合,1.5450,1.7930,1.5470,1.7950,-0.0020,-0.13,0.15%
000664,国联安通盈混合A,1.2915,1.3445,1.2936,1.3466,-0.0021,-0.16,0.07%
000667,工银绝对收益混合发起A,1.1110,1.1110,1.1110,1.1110,0,0.00,0.15%
000668,国寿安保尊享债券A,1.3070,1.3070,1.3070,1.3070,0,0.00,0.08%
